model,seed,QTLs,current_fitness,future_fitness,causal_offset,empirical_offset,empirical_putative,incomplete_offset,only_QTL1_offset,only_QTL2_offset,random_offset,random_putative,env_dist
m3.3,s100,100,0.934005,0.707674,0.12113009127196882,0.021243381135081722,0.0952299909927613,0.03835015508528487,0.024943269501769925,0.02153572576800358,0.017761073268735838,0,20.181360297334457
m3.3,s100,100,0.997212,0.9945,0.012957694435761537,0.002479924047006214,0.007577549184711306,0.004601480305747142,0.003568681726114715,0.0039044854384202633,0.0032066340060406453,0,20.181360297334457
m3.3,s100,100,0.95671,0.985776,0.027634504624785422,0.010075056553772591,0.024373967637133807,0.03105818299582145,0.01933041933609643,0.01991549119135855,0.018578709711570923,0,20.181360297334457
m3.3,s100,100,0.926539,0.977661,0.14197170582505234,0.02186651048572931,0.11144280316162816,0.03068293376515532,0.025910644810435063,0.019514698629364148,0.015703807236722597,0,20.181360297334457
m3.3,s100,100,0.928597,0.701856,0.17501229576944563,0.028881577925069082,0.09235657769515282,0.05363809294758275,0.039283244547541965,0.0457644361563166,0.033350002628810264,0,20.181360297334457
m3.3,s100,100,0.991458,0.933552,0.07098790494999813,0.01262707985723579,0.041123820968880606,0.021985984911462485,0.015779325543213724,0.017857786112106127,0.013448531927042975,0,20.181360297334457
m3.3,s100,100,0.996549,0.83074,0.1156170715931556,0.028829766623430626,0.0914466250993168,0.08284392672590374,0.06882898609688201,0.07204723970018552,0.0687760753335811,0,20.181360297334457
m3.3,s100,100,0.858818,0.893078,0.08740151604956886,0.011756659386469272,0.054902887469352187,0.014580056875078693,0.008437482549160713,0.008561319325086214,0.004683326554801653,0,20.181360297334457
m3.3,s100,100,0.84573,0.805949,0.17432837496388787,0.029795717457569343,0.10340885366646346,0.05924847687611588,0.03387340088124857,0.042499254242216705,0.032082814193522075,0,20.181360297334457
m3.3,s100,100,0.912787,0.640475,0.09255734963953824,0.014105391673778014,0.06726440813084061,0.023130096598614088,0.01778417621596542,0.016224819231559925,0.013262431907585748,0,20.181360297334457
m3.3,s100,100,0.950778,0.870176,0.10710328444719809,0.014385402942034957,0.07483796468392956,0.016765658544417885,0.012135917416959206,0.00950809327277954,0.005950911246560564,0,20.181360297334457
m3.3,s100,100,0.995618,0.911852,0.06977181897310142,0.016406488389984118,0.06232152501954375,0.03628360119997005,0.03381670360804326,0.027949481087746357,0.02768542274623005,0,20.181360297334457
m3.3,s100,100,0.932154,0.982356,0.07339885575232788,0.01752611119997593,0.05719782868450347,0.042650831991105254,0.03583699542719921,0.0359925710124708,0.033770729209696176,0,20.181360297334457
m3.3,s100,100,0.980096,0.890527,0.08492383285337393,0.015533475489438167,0.053565198103230016,0.03264459820505568,0.018645578560012088,0.02281232721432369,0.01748973402037145,0,20.181360297334457
m3.3,s100,100,0.997098,0.895583,0.1350768892995117,0.025213008393573957,0.11173384831162948,0.05504666929679782,0.03747085629087857,0.03442399362382901,0.02979960975421045,0,20.181360297334457
m3.3,s100,100,0.962126,0.993348,0.08050458038198466,0.012868759849381853,0.058036870365651576,0.020636769253438214,0.010253809103554987,0.010502830804963165,0.006340919779449455,0,20.181360297334457
m3.3,s100,100,0.90652,0.800781,0.06097899473035887,0.015388497197299332,0.04754287727553196,0.03717403290985235,0.01987622899090711,0.021281884729724802,0.01774104956917008,0,20.181360297334457
m3.3,s100,100,0.961049,0.978846,0.027634504624785422,0.008543662051844737,0.020049841513733072,0.02493862802540489,0.021416964712029814,0.022086108112698413,0.020336637309900825,0,20.181360297334457
m3.3,s100,100,0.918127,0.938529,0.0026833310032642324,0.006745356141718173,0.01099185311940884,0.030375348369867067,0.026097521912575188,0.025402178634432806,0.026061969859166166,0,20.181360297334457
m3.3,s100,100,0.914307,0.933083,0.09938181807051377,0.01632875426607077,0.06822576874880942,0.026587152705446693,0.014080083434927802,0.015428570109702716,0.009579536384587715,0,20.181360297334457
m3.3,s100,100,0.950343,0.985998,0.12008826043066206,0.02109955247177565,0.10022080162973465,0.03758543926596822,0.033549907966147034,0.027417004941596795,0.024886626684843715,0,20.181360297334457
m3.3,s100,100,0.983627,0.938268,0.03370296997208851,0.006839625690540183,0.028453075939618926,0.01354511749669465,0.01207886321537559,0.009731890793589453,0.009333031965071664,0,20.181360297334457
m3.3,s100,100,0.969054,0.97772,0.029465780840967275,0.007211295188686898,0.021385181969796833,0.017992831187791488,0.017312164143914663,0.016862624603827984,0.015590319619464738,0,20.181360297334457
m3.3,s100,100,0.948289,0.892518,0.03771702758303446,0.006257882170736277,0.023791215401741027,0.010239611381014686,0.005971438208883089,0.006903130719099872,0.004577100777674975,0,20.181360297334457
m3.3,s100,100,0.907158,0.922463,0.0019276380449977032,0.00449152164836085,0.007121466489021159,0.0192148418153927,0.015971518408322588,0.015382552096310363,0.015855814756341017,0,20.181360297334457
m3.3,s100,100,0.982284,0.979437,0.029465780840967275,0.032885975674510334,0.056336976236450814,0.10953083887183751,0.08757514083452393,0.08187088747845209,0.08532063885476321,0,20.181360297334457
m3.3,s100,100,0.989201,0.859126,0.057929449387262286,0.03265754523148045,0.07470119454146555,0.10055066561462576,0.09283777804058548,0.08676705843316436,0.09062111317058182,0,20.181360297334457
m3.3,s100,100,0.992538,0.972288,0.024219241990840402,0.007043307431556469,0.017750348285462274,0.01849127070862342,0.012406411695953554,0.012893609171928722,0.011466480475408785,0,20.181360297334457
m3.3,s100,100,0.989778,0.984752,0.005629076664219989,0.00638963735716315,0.010858368167706517,0.022563774819471936,0.01713216740642463,0.016156755883962218,0.016713835746099213,0,20.181360297334457
m3.3,s100,100,0.999875,0.984965,0.029465780840967275,0.006123756728268582,0.02203180224427867,0.013384176775207774,0.0063520078653244395,0.007000514142012225,0.0052613761758640186,0,20.181360297334457
m3.3,s100,100,0.897294,0.618834,0.09255734963953824,0.017465763618146248,0.07440170938714535,0.0326496351132396,0.02873395231219531,0.023316373827751997,0.021615743987805316,0,20.181360297334457
m3.3,s100,100,0.996848,0.982657,0.029465780840967275,0.004871921214462889,0.019626840300713905,0.008048236066859393,0.004280141451256532,0.00487607554941682,0.0030280286449510412,0,20.181360297334457
m3.3,s100,100,0.914539,0.748272,0.12327864766152141,0.019765089773508885,0.09166521282701998,0.031132089283124526,0.021732723891343876,0.02000798384459124,0.0148043778956409,0,20.181360297334457
m3.3,s100,100,0.987858,0.770574,0.10924706574780746,0.018362266758210902,0.08044070222867752,0.02897302013734426,0.022612723132595627,0.019155878895853785,0.016588136552711363,0,20.181360297334457
m3.3,s100,100,0.994905,0.968048,0.06025421310750944,0.019260527282410702,0.0573285606938292,0.063648460235432,0.06189300219158079,0.060251182008579617,0.058691130833344325,0,20.181360297334457
m3.3,s100,100,0.980653,0.926111,0.03771702758303446,0.008173059389416664,0.027516284626090046,0.019572970366741115,0.008951604004208491,0.010519933804117889,0.007982603506779793,0,20.181360297334457
m3.3,s100,100,0.995753,0.957026,0.04139855257976702,0.014775149219757646,0.04656557500796832,0.041018670152022416,0.04201497975149832,0.03716083821752466,0.03865436613450868,0,20.181360297334457
m3.3,s100,100,0.99988,0.983306,0.029465780840967275,0.008837169831207881,0.02397774367325201,0.025036776556370384,0.02056136827992248,0.02133558156306118,0.019618771319930044,0,20.181360297334457
m3.3,s100,100,0.995828,0.875493,0.1350768892995117,0.020564593573548787,0.09953991896772885,0.029101064337748908,0.01899208477385659,0.016770694679270035,0.011069105939356283,0,20.181360297334457
m3.3,s100,100,0.936031,0.816938,0.08477492067689088,0.014792994066685033,0.056165083621564,0.027917093886045703,0.016206378647415583,0.016710199921824608,0.012526905178026173,0,20.181360297334457
m3.3,s100,100,0.918947,0.824972,0.0470155855631909,0.008381652290538392,0.027679493466467,0.016145287993040464,0.010062732689550357,0.01135915123645711,0.008299362347311462,0,20.181360297334457
m3.3,s100,100,0.928718,0.91718,9.562995698712079e-4,2.1059774863624973e-4,5.637705173532622e-4,4.2916391973903665e-4,3.847906328810536e-4,3.9475641089131496e-4,3.6117355418198666e-4,0,20.181360297334457
m3.3,s100,100,0.976708,0.984754,0.005629744537095589,0.007708622960704371,0.01318400512558637,0.03378912170921546,0.03117063610535079,0.029914809796382957,0.030711745505693458,0,20.181360297334457
